Cell Name/Pin, Capacitance, Direction
sky130_fd_sc_hd__and4b_1/B,0.0016040000,input
sky130_fd_sc_hd__and4b_1/C,0.0015790000,input
sky130_fd_sc_hd__and4b_1/D,0.0016290000,input
sky130_fd_sc_hd__and4b_1/X,0.1638890000,output
sky130_fd_sc_hd__and4b_2/A_N,0.0015620000,input
sky130_fd_sc_hd__and4b_2/B,0.0015950000,input
sky130_fd_sc_hd__and4b_2/C,0.0015870000,input
sky130_fd_sc_hd__and4b_2/D,0.0015920000,input
sky130_fd_sc_hd__and4b_2/X,0.3131200000,output
sky130_fd_sc_hd__and4b_4/A_N,0.0015710000,input
sky130_fd_sc_hd__and4b_4/B,0.0023510000,input
sky130_fd_sc_hd__and4b_4/C,0.0023730000,input
sky130_fd_sc_hd__and4b_4/D,0.0023960000,input
